AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
52036,1468753117,241,评论,2024-10-07,2,韩语 流行 ,40,前奏沦陷 | 首尔的风吹不散浪漫,12696691965,https://music.163.com/playlist?id=12696691965
36223,2034261933,639,11,2024-09-23,5,流行 轻音乐 治愈 ,53,INFP丨焦虑是由自由引起的眩晕,12636330404,https://music.163.com/playlist?id=12636330404
115456,2034261933,626,4,2024-08-29,14,日语 地铁 ,82,日系神曲丨通勤路上的孤单调味剂,12528089157,https://music.163.com/playlist?id=12528089157
63511,342371680,334,评论,2024-10-17,3,欧美 R&B/Soul 浪漫 ,47,节奏布鲁斯｜荷尔蒙倾倒 在了浪漫的波光中,12736802737,https://music.163.com/playlist?id=12736802737
53687,312585551,292,评论,2024-09-28,0,电子 驾车 性感 ,105,车载DJ旋律 | 别让欲望击穿你的意志,12654963834,https://music.163.com/playlist?id=12654963834
4597,4000950546,41,1,2024-09-14,1,R&B/Soul 夜晚 浪漫 ,85,日落加州｜顶级浪漫｜在橘子海感受温暖,12599035020,https://music.163.com/playlist?id=12599035020
137888,1402401358,943,22,2024-11-15,20,华语 R&B/Soul ,21,节奏布鲁斯|微醺情愫 忧郁旋律里的浪漫心,12862167421,https://music.163.com/playlist?id=12862167421
100013,1520836115,381,5,2024-11-04,2,网络歌曲 治愈 兴奋 ,77,听泉鉴宝沉淀一下赏宝雅曲bgm.,12819301918,https://music.163.com/playlist?id=12819301918
7537,342371680,47,评论,2024-09-28,1,华语 R&B/Soul 流行 ,88,华语R&B｜回春年代 百听不厌的节奏布鲁斯,12655214309,https://music.163.com/playlist?id=12655214309
13266,7872690377,91,1,2024-10-11,2,华语 R&B/Soul ,50,合伙人精选 | 寂寞的秋天是R&B的季节,12715073725,https://music.163.com/playlist?id=12715073725
53372,1520836115,176,14,2024-09-27,1,华语 R&B/Soul 驾车 ,65,当代律动R&B｜像在海边兜风一样的心旷神怡,12653278982,https://music.163.com/playlist?id=12653278982
338220,79318044,2992,48,2024-09-16,14,古风 驾车 放松 ,60,天下谁人不识君丨古风 x DJ,12607978369,https://music.163.com/playlist?id=12607978369
6416,380154710,40,评论,2024-09-09,0,欧美 流行 R&B/Soul ,46,氤氲之息 | 野香繁作 芬芳满径醉芳华,12578238229,https://music.163.com/playlist?id=12578238229
262952,9059054807,2519,17,2024-07-17,31,电子 驾车 性感 ,206,"Phonk致幻着迷, 沉浸黑色浪漫",12320175174,https://music.163.com/playlist?id=12320175174
14992,8376551360,95,2,2024-09-11,2,另类/独立 轻音乐 孤独 ,37,梦核｜睡眠是小型死亡 活着是漫长的失眠,12585298860,https://music.163.com/playlist?id=12585298860
11040,380154710,45,评论,2024-08-27,0,R&B/Soul 华语 放松 ,99,『旋律R&B』南风未起 念你成疾,12521787569,https://music.163.com/playlist?id=12521787569
18440,1520836115,130,1,2024-10-19,3,粤语 R&B/Soul 放松 ,37,醇正粤语RNB：当代年轻人的浪漫花园,12745360091,https://music.163.com/playlist?id=12745360091
8050,468356020,44,评论,2024-10-29,2,韩语 流行 兴奋 ,76,运动状态开启｜Kpop高燃活力100%,12788239015,https://music.163.com/playlist?id=12788239015
125402,1411918350,2475,92,2024-09-16,89,欧美 说唱 R&B/Soul ,81,Kanye West 9月15日海口试听会演出歌单,12604974480,https://music.163.com/playlist?id=12604974480
23590,468356020,191,2,2024-09-20,2,韩语 流行 兴奋 ,81,跑步节奏控｜五公里跑量KPOP充能燃脂,12624067818,https://music.163.com/playlist?id=12624067818
1628,468356020,15,评论,2024-10-18,0,欧美 流行 快乐 ,168,活力值100%｜欢快节奏拯救你的不开心,12740621910,https://music.163.com/playlist?id=12740621910
3679033,312585551,31094,449,2024-03-05,353,电子 驾车 性感 ,207,车载DJ丨提神醒脑，困意全无,9382737289,https://music.163.com/playlist?id=9382737289
1892577,312585551,13275,133,2024-01-25,80,驾车 电子 性感 ,207,车载DJ | 我已按耐不住飙车的心,9204813663,https://music.163.com/playlist?id=9204813663
319862,610336824,2251,4,2024-09-18,23,R&B/Soul 华语 夜晚 ,62,华语R&B |爱让人像小孩 怕一个人孤独,12617353175,https://music.163.com/playlist?id=12617353175
10872,647695007,34,2,2024-10-06,0,网络歌曲 榜单 华语 ,101,「百万•大众收听」单循热歌‖刻进DNA,12692656230,https://music.163.com/playlist?id=12692656230
2635445,312585551,17653,144,2024-05-12,142,电子 驾车 性感 ,207,抖腿车载DJ硬曲 | 低音炮震撼低沉鼓点音浪,10042588952,https://music.163.com/playlist?id=10042588952
4139,7872690377,34,评论,2024-09-27,0,欧美 说唱 ,53,合伙人私藏 | 越听越上瘾的欧美嘻哈说唱,12652507010,https://music.163.com/playlist?id=12652507010
81986,1411918350,1482,62,2024-09-28,36,欧美 说唱 R&B/Soul ,40,Kanye West 9月28日海口试听会演出歌单,12658480344,https://music.163.com/playlist?id=12658480344
16647,79318044,122,2,2024-10-14,5,朋克 电子 驾车 ,102,新世纪车载电音丨漂移冯克Phonk,12728837771,https://music.163.com/playlist?id=12728837771
68475,380154710,378,4,2024-09-14,6,欧美 R&B/Soul 90后 ,46,英文R&B入坑曲：封神旋律 是谁的一代青春,12596803978,https://music.163.com/playlist?id=12596803978
19041,1353391475,167,2,2024-09-25,0,流行 欧美 兴奋 ,24,欧美｜疯批美学 你逐渐零落的模样可真美,12646173834,https://music.163.com/playlist?id=12646173834
54762,339152569,1689,1,2024-09-26,12,欧美 说唱 ,39,欧美精选｜潮流100% 让律动融入生活中,12650425817,https://music.163.com/playlist?id=12650425817
9070,468356020,68,评论,2024-08-30,2,流行 驾车 兴奋 ,142,DJ舞曲畅快摇摆｜别旁观来狂欢,12538031981,https://music.163.com/playlist?id=12538031981
10360,380154710,61,评论,2024-10-12,0,华语 流行 快乐 ,73,黛玉训狗记：手帕快藏起来 手慢无,12718517117,https://music.163.com/playlist?id=12718517117
113730,1289346856,1880,14,2024-06-28,13,轻音乐 放松 安静 ,77,氛围纯音｜坠入一场斑驳陆离的荒诞梦境,12237702920,https://music.163.com/playlist?id=12237702920
22846,312585551,124,评论,2024-10-16,0,电子 驾车 性感 ,105,"黑郁八音盒 | 暗黑旋律, 致郁音符",12732962203,https://music.163.com/playlist?id=12732962203
1422,403746215,8,评论,2024-10-05,0,华语 流行 快乐 ,35,励志华语｜没人等你 风生水起要靠自己,12689581696,https://music.163.com/playlist?id=12689581696
2317,7872690377,23,评论,2024-11-15,0,欧美 R&B/Soul ,56,合伙人精选 | 一听倾心的欧美R&B男声,12862145386,https://music.163.com/playlist?id=12862145386
1128,8376551360,9,评论,2024-09-30,0,欧美 流行 R&B/Soul ,85,欧美清新｜浪漫小清新 阳光活力微醺甜蜜感,12662355549,https://music.163.com/playlist?id=12662355549
159451,107742044,506,7,2024-09-03,4,华语 流行 综艺 ,111,天赐的声音：若月亮没来 如果可以 字字句句,12554132768,https://music.163.com/playlist?id=12554132768
3077,1520836115,31,评论,2024-10-07,1,华语 R&B/Soul 快乐 ,64,吸引好运 高能量显化歌曲丨把好心情放第一,12697516954,https://music.163.com/playlist?id=12697516954
2522,1786178406,26,评论,2024-10-24,1,流行 电子 驾车 ,194,车载DJ | 我已按耐不住飙车的心,12765630195,https://music.163.com/playlist?id=12765630195
9251,1591398612,101,评论,2024-06-17,1,欧美 酒吧 放松 ,95,私藏歌單| 傍晚清吧 适合微醺時聽的歌單,10182395092,https://music.163.com/playlist?id=10182395092
25303,312585551,115,评论,2024-10-08,1,电子 驾车 酒吧 ,105,潮流DJ动感旋律，舞动青春无极限,12700719926,https://music.163.com/playlist?id=12700719926
176831,8535189116,3956,30,2024-06-01,32,伤感 孤独 安静 ,132,氛围感|安逸感|宿命感 直接拉满的音乐,10118944785,https://music.163.com/playlist?id=10118944785
6714,468356020,34,评论,2024-10-21,0,韩语 流行 快乐 ,150,韩系撩人｜温柔副歌的心动狙击,12755845265,https://music.163.com/playlist?id=12755845265
51003,1289346856,1142,14,2024-07-10,13,放松 治愈 轻音乐 ,51,梦游仙境：沉溺于仲夏，潜入绿色的梦。,12289151781,https://music.163.com/playlist?id=12289151781
80907,1520836115,461,6,2024-08-24,7,欧美 放松 清晨 ,47,『清晨放松欧美系』快乐玄学 允许一切发生,12506738374,https://music.163.com/playlist?id=12506738374
3598,107742044,19,评论,2024-09-28,0,华语 流行 综艺 ,32,音综：我们的歌第六季，神仙舞台精选,12656069654,https://music.163.com/playlist?id=12656069654
262150,107742044,1013,5,2024-09-22,4,华语 流行 综艺 ,95,华语顶级嗓：单依纯 张碧晨 刘惜君 郁可唯,12632193454,https://music.163.com/playlist?id=12632193454
180611,8376551360,3941,16,2024-08-06,33,古典 轻音乐 孤独 ,78,寂静随风：且听风说 与孤独发光的灵魂为伴,12414320532,https://music.163.com/playlist?id=12414320532
9545,107742044,65,评论,2024-09-03,0,华语 流行 综艺 ,100,天赐的声音：如果可以 暮色回响 字字句句,12554056559,https://music.163.com/playlist?id=12554056559
2341065,556046321,6392,4,2024-09-24,22,华语 经典 怀旧 ,198,90后回忆杀！一首老歌，一个故事，一段青春,12644048660,https://music.163.com/playlist?id=12644048660
2426,2118682115,21,评论,2024-10-12,0,华语 快乐 驾车 ,39,听中文车载歌曲 享幸福时刻,12716268479,https://music.163.com/playlist?id=12716268479
518249,475393489,2254,11,2024-05-09,16,华语 古风 网络歌曲 ,72,『无人扶我青云志 我自踏雪至山巅』,10033413177,https://music.163.com/playlist?id=10033413177
16151,342371680,129,评论,2024-11-03,1,欧美 流行 快乐 ,101,APT女孩必听曲！自由 律动 阳光 氛围感！,12815718733,https://music.163.com/playlist?id=12815718733
397936,107742044,1829,3,2024-08-31,13,华语 流行 综艺 ,96,封神音综：顶级编唱神仙都沦陷！,12541082075,https://music.163.com/playlist?id=12541082075
2136,107742044,33,评论,2024-11-10,0,华语 流行 综艺 ,60,天赐的声音+有歌2024+声生不息,12845847101,https://music.163.com/playlist?id=12845847101
2111,1520080652,4,评论,2024-11-10,0,韩语 流行 ,52,超燃韩语丨韩国顶级flow丨潮流歌单一步到位,12842284369,https://music.163.com/playlist?id=12842284369
230444,612193631,9923,评论,2024-09-24,46,流行 驾车 放松 ,76,涡轮必备｜肾上腺素飙升,12641702231,https://music.163.com/playlist?id=12641702231
532,647695007,6,评论,2024-10-12,0,欧美 驾车 说唱 ,112,〔辣妹•必备〕动感少女的热舞派对！,12719710200,https://music.163.com/playlist?id=12719710200
485686,107742044,1654,33,2024-09-18,6,华语 流行 综艺 ,98,华语神仙嗓：单依纯 周深 毛不易 张碧晨,12617725666,https://music.163.com/playlist?id=12617725666
57979,342371680,205,1,2024-10-15,0,欧美 流行 放松 ,48,欧美&节奏律动｜感受阳光 感觉音乐的力量！,12731307445,https://music.163.com/playlist?id=12731307445
26723,312585551,178,评论,2024-09-28,0,华语 流行 90后 ,93,经典老歌90，00后回忆杀 你的青春一直都在,12656635539,https://music.163.com/playlist?id=12656635539
397495,342371680,3363,35,2024-03-30,140,欧美 流行 R&B/Soul ,150,青柠味R&B：清新鼓点 带点阳光少年感浪漫,9598268430,https://music.163.com/playlist?id=9598268430
46475,612193631,1021,1,2024-10-22,3,流行 驾车 ,92,不怕DJ带老歌｜就怕rap唱情歌 ,12760633924,https://music.163.com/playlist?id=12760633924
301130,339152569,12914,7,2024-04-12,135,R&B/Soul 流行 欧美 ,48,【R&B/氛围感】别错过日落和晚霞,9765394344,https://music.163.com/playlist?id=9765394344
413043,445189786,3482,72,2024-07-14,18,伤感 网络歌曲 00后 ,75,大大怪将军 小小怪真的很想你,12305314657,https://music.163.com/playlist?id=12305314657
7462,421407158,26,评论,2024-09-04,0,日语 治愈 流行 ,57,ACG温柔 | 说不出口的爱总是酸涩,12557629083,https://music.163.com/playlist?id=12557629083
357154,556046321,884,3,2024-09-24,4,华语 经典 怀旧 ,202,打开你的老歌播放列表 一起重温那些年经典,12643750583,https://music.163.com/playlist?id=12643750583
11132,67712696,43,评论,2024-08-29,0,华语 夜晚 伤感 ,34,伤感DJ精选 劲爆车载专用嗨曲,12531295574,https://music.163.com/playlist?id=12531295574
750790,2020860850,6879,109,2024-04-06,65,电子 驾车 性感 ,202,车载DJ | 爱而不得的感情最伤人,9689600601,https://music.163.com/playlist?id=9689600601
1169069,107742044,3408,40,2024-06-27,23,华语 流行 综艺 ,74,天赐的声音：泪桥 指纹 何物 妥协 慢冷,12231985750,https://music.163.com/playlist?id=12231985750
2191,647695007,20,评论,2024-11-14,1,日语 ACG ,81,二次元日语音乐｜夜晚星空下的独白与温暖,12862411759,https://music.163.com/playlist?id=12862411759
52049,312585551,296,评论,2024-09-27,2,华语 电子 驾车 ,105,车载DJ｜高速路必听的口水旋律,12653608226,https://music.163.com/playlist?id=12653608226
194118,107742044,534,1,2024-07-17,1,华语 流行 综艺 ,63,天赐的声音5：华语live天花板,12319697451,https://music.163.com/playlist?id=12319697451
2056,2118682115,7,评论,2024-10-09,0,华语 怀旧 校园 ,47,校园青春旋律 | 90/00后回忆杀 怀旧歌曲,12705524705,https://music.163.com/playlist?id=12705524705
4879,12203964933,17,评论,2024-07-27,1,韩语 R&B/Soul 轻音乐 ,38,“Palpitate前奏一响”回忆篇章响起,12362827770,https://music.163.com/playlist?id=12362827770
255413,4890039635,797,7,2024-03-10,1,华语 流行 综艺 ,68,天赐的声音5：金曲舞台惊艳全场,9407025865,https://music.163.com/playlist?id=9407025865
57047,262751420,987,10,2024-07-13,39,华语 流行 ,93,汪苏泷2024十万伏特演唱会歌单（持续更新）,12302787711,https://music.163.com/playlist?id=12302787711
5962788,122356259,107622,288,2017-12-01,2465,爵士 Bossa Nova 小语种 ,34,法语爵士|红酒与玫瑰浪漫邂逅,1997190595,https://music.163.com/playlist?id=1997190595
84318304,103159696,994154,20345,2016-04-07,54363,轻音乐 夜晚 安静 ,32,深度睡眠 |重度失眠者专用歌单,331841455,https://music.163.com/playlist?id=331841455
22659820,423252549,344255,1052,2017-10-01,6422,欧美 蓝调 爵士 ,124,深情布鲁斯，浓情老酒馆。,939320758,https://music.163.com/playlist?id=939320758
62113344,78905899,1729982,6310,2015-10-04,28189,轻音乐 钢琴 ACG ,127,"〖唯美纯音〗不需要歌词,也可以打动你的心",112875926,https://music.163.com/playlist?id=112875926
719492,80597181,6151,52,2019-02-03,406,欧美 流行 世界音乐 ,137,【德语】莱茵河畔之风拂过心田,2653868848,https://music.163.com/playlist?id=2653868848
1877057,499915181,14964,64,2018-03-16,360,华语 雷鬼 ,85,国人雷鬼 Ι 探索不拘一格的玩性洒脱,2143660964,https://music.163.com/playlist?id=2143660964
2182,7872690377,8,评论,2024-11-14,0,华语 说唱 ,57,合伙人热荐 | 相互意会 感受心扉,12861095991,https://music.163.com/playlist?id=12861095991
80521,3329265479,1223,8,2024-07-14,5,流行 治愈 榜单 ,34,aespa｜旷野的规则是永不回头,12306933075,https://music.163.com/playlist?id=12306933075
14505,1289346856,200,3,2024-09-25,3,欧美 治愈 放松 ,63,置身旷野：心向原野 与自然相拥 涉旷野丛林,12646326771,https://music.163.com/playlist?id=12646326771
260134,1461603447,588,63,2024-10-10,11,华语 流行 治愈 ,28,我在呢，我会倾听你每个情绪的理由,12711444140,https://music.163.com/playlist?id=12711444140
169250,48578227,1301,5,2024-04-07,5,流行 欧美 快乐 ,133,快乐暴击 | 轻松愉快的小调 心情原地起飞。,9698860512,https://music.163.com/playlist?id=9698860512
25862,312585551,160,评论,2024-09-28,0,华语 流行 90后 ,129,90后经典回忆杀｜一人一首成名曲,12656674237,https://music.163.com/playlist?id=12656674237
23165,312585551,146,评论,2024-10-07,1,华语 流行 90后 ,94,90后青春回忆杀｜聆听MP3里的经典之声,12695522280,https://music.163.com/playlist?id=12695522280
58832,312585551,264,2,2024-10-07,2,华语 流行 90后 ,106,90后回忆杀 | 重温非主流的时光,12694396558,https://music.163.com/playlist?id=12694396558
13942,588982333,55,1,2024-09-04,0,华语 流行 R&B/Soul ,90,华语R&B｜和喜欢的TA听 会有双倍的快乐！,12556157679,https://music.163.com/playlist?id=12556157679
1187,468356020,11,评论,2024-10-19,0,欧美 流行 快乐 ,90,欧美律动Chill｜随性自由 松弛感拉满,12745652473,https://music.163.com/playlist?id=12745652473
29437520,7394345,252771,820,2016-11-20,7865,华语 民谣 孤独 ,286,华语民谣 I 孤独的心诠释诗意和远方,514947114,https://music.163.com/playlist?id=514947114
13019928,411402173,224797,777,2019-02-26,2867,华语 古风 浪漫 ,150,「居家古风」如何把生活过成诗,2685449094,https://music.163.com/playlist?id=2685449094
16861130,2445590,307637,1046,2016-01-19,4597,影视原声 钢琴 欧美 ,59,电影中的钢琴曲｜最会讲故事²,156659312,https://music.163.com/playlist?id=156659312
35044896,1176807,968545,5581,2013-07-29,13928,古典 工作 学习 ,31,增强记忆性古典音乐（适合学习作业使用）,2984653,https://music.163.com/playlist?id=2984653
11319277,50255421,148654,922,2018-09-15,3392,轻音乐 清新 安静 ,68,『纯音乐』当雨滴敲响琴键,2420545066,https://music.163.com/playlist?id=2420545066
2110928,341030416,22549,61,2019-07-11,950,Bossa Nova 爵士 拉丁 ,158,Bossa Nova｜聆听热情桑巴中的慵懒时光,2879306923,https://music.163.com/playlist?id=2879306923
3412973,45441555,91203,624,2017-05-30,1030,日语 治愈 ACG ,30,日系治愈｜想成为一个温柔的人,745510353,https://music.163.com/playlist?id=745510353
6191375,83659385,86501,1019,2017-08-29,1465,轻音乐 伤感 ACG ,81,『物哀纯音』漫天飞舞的红叶，暮色黄昏,899361402,https://music.163.com/playlist?id=899361402
2206134,306851500,26264,66,2020-04-18,825,爵士 欧美 ,30,复古慵懒 | 当经典摇滚被爵士如此演绎,4974682089,https://music.163.com/playlist?id=4974682089
6384334,85351650,114795,957,2016-11-18,3366,后摇 钢琴 另类/独立 ,198,钢琴后摇 I 初雪点地，窸窣低语,513217941,https://music.163.com/playlist?id=513217941
18310062,320509339,164094,827,2017-09-15,2366,华语 民谣 治愈 ,29,想开家茶馆，放首民谣给从前,919939187,https://music.163.com/playlist?id=919939187
9564207,74029445,124225,452,2017-09-27,2158,欧美 摇滚 英伦 ,147,「英伦摇滚」唱片中的昔日时光,934792457,https://music.163.com/playlist?id=934792457
3118926,45441555,86486,436,2017-07-10,1257,日语 治愈 ACG ,35,少女心ღ｜恋爱是颗苹果糖,805407063,https://music.163.com/playlist?id=805407063
5535495,341030416,58234,215,2020-04-18,1379,乡村 旅行 驾车 ,325,《美国乡村乐图鉴与简史》,4975456668,https://music.163.com/playlist?id=4975456668
2176234,122356259,32536,137,2019-02-02,905,欧美 爵士 酒吧 ,62,黑胶唱片机|微醺情调耳边低语,2651898154,https://music.163.com/playlist?id=2651898154
3957346,83659385,79135,424,2017-12-05,1539,日语 感动 ACG ,265,東方抒情集：一梦华胥 永眠不散之宴,2003672301,https://music.163.com/playlist?id=2003672301
8959362,205640,170348,939,2014-10-27,2519,民谣 欧美 清新 ,136,我听欧美民谣的美好时光,34254526,https://music.163.com/playlist?id=34254526
20477068,129593031,352467,3422,2016-11-13,11092,夜晚 孤独 后摇 ,111,「后摇」一只孤独的巨兽在深海里呼喊,509265479,https://music.163.com/playlist?id=509265479
4382293,122356259,51510,168,2018-01-14,953,欧美 摇滚 驾车 ,60,公路音乐|纵情追逐梦想与远方,2057923710,https://music.163.com/playlist?id=2057923710
2322680,36193129,16471,140,2019-12-11,669,摇滚 金属 ,206,国摇金属:梦与花火怒放的桀骜篇章,3114158828,https://music.163.com/playlist?id=3114158828
195030704,6438754,3877801,10388,2014-11-19,41237,流行 欧美 快乐 ,16,那些只听前奏就中毒的英文歌,37432514,https://music.163.com/playlist?id=37432514
14291939,83659385,321903,2652,2017-07-06,4719,民谣 游戏 ACG ,129,『小酒馆』剑与魔法 · 旅途中的休憩时光,800496969,https://music.163.com/playlist?id=800496969
12286223,67853143,376394,1272,2016-06-19,5972,欧美 小语种 流行 ,149,【珍藏】必听的一百五十首音乐剧名曲,404757132,https://music.163.com/playlist?id=404757132
1866441,341030416,6938,87,2020-11-23,1050,摇滚 欧美 感动 ,103,「雨之摇滚·倾听爱与自由乐章」,5347651276,https://music.163.com/playlist?id=5347651276
437546,379601668,6879,140,2021-01-25,383,民族 经典 ,60,中国戏剧最高奖–“梅花奖”,5482864472,https://music.163.com/playlist?id=5482864472
2582207,1722591860,37544,269,2020-02-01,674,电子 轻音乐 器乐 ,804,国产纯音集 | 八百位音乐人，一人一曲,3222869790,https://music.163.com/playlist?id=3222869790
4752517,1650191296,18882,127,2020-02-08,922,华语 另类/独立 浪漫 ,102,华语独立乐团｜将温柔塞满黄昏,3233164347,https://music.163.com/playlist?id=3233164347
5801119,71937732,151601,336,2016-02-19,2287,古典 浪漫 思念 ,47,古典音樂史上最優美的夜曲与小夜曲,171967885,https://music.163.com/playlist?id=171967885
1046071,3432498,13537,75,2021-02-17,1967,华语 摇滚 流行 ,411,乐团世代丨台湾乐团编年史（1980-2021）,6620660821,https://music.163.com/playlist?id=6620660821
5532667,85351650,88569,606,2017-01-23,3098,钢琴 古典 器乐 ,98,新古典集 I 三滴空明，庆赏无厌,579730540,https://music.163.com/playlist?id=579730540
6378016,7394345,108867,604,2016-11-05,3141,电子 孤独 另类/独立 ,72,冰気电子 ' 沉溺于绮旷的荒芜之境,502767290,https://music.163.com/playlist?id=502767290
2993000,69578876,36498,626,2015-11-17,464,说唱 欧美 榜单 ,97,美国说唱史上最伟大的100位歌手。,128251515,https://music.163.com/playlist?id=128251515
